code,name,address,city,state,postalCode,phone,fax,email,category,locationtype
101,Marcos test,Avda de los Constituyentes 5750,Ciudad Autónoma de Bs. As.,Ciudad Autónoma de Bs. As.,1431,4571-3557,4571-3557,marcos.godoy.despegar@hotmail.com,TADI Excl. Post Venta,Principal
1010,AUTO ASIST,Avda de los Constituyentes 5750,Ciudad Autónoma de Bs. As.,Ciudad Autónoma de Bs. As.,1431,4571-3557,4571-3557,autoasist@autoasist.com.ar,TADI Excl. Post Venta,Principal
1017,AMITIÉ AUTO S.A.,Avda. La Plata 218,Ciudad Autónoma de Bs. As.,Ciudad Autónoma de Bs. As.,1184,4982-1483 / 84 / 85,4982-1483 / 84 / 85,info@amitie.com.ar,Excl. Ventas,Principal
1017,AMITIÉ AUTO S.A.,Avda. La Plata 767,Ciudad Autónoma de Bs. As.,Ciudad Autónoma de Bs. As.,1235,4926-2604 al 06,4926-2604 al 06,info@amitie.com.ar,Excl. Post Venta,Principal
1019,BREST de Carullo S.A.,Gascón 1445,Ciudad Autónoma de Bs. As.,Ciudad Autónoma de Bs. As.,1181,4862-2797,4862-2797,info@serviciobrest.com,TADI Excl. Post Venta,Principal
1030,L'EXPRES S.A.,Carlos Pellegrini  1526,Ciudad Autónoma de Bs. As.,Ciudad Autónoma de Bs. As.,1011,4325-2004/05,4325-2004/05,pellegrini@lexpres.com.ar,Excl. Ventas,Secundaria
1030,L'EXPRES S.A.,Rincón 720,Ciudad Autónoma de Bs. As.,Ciudad Autónoma de Bs. As.,1227,4308-2455/56/57,-,rincon@lexpres.com.ar,Integral,Secundaria
1030,L'EXPRES S.A.,Av. Córdoba 3113,Ciudad Autónoma de Bs. As.,Ciudad Autónoma de Bs. As.,1187,4963-6206,-,-,Excl. Ventas,Secundaria
1030,L'EXPRES S.A.,"Estac. Plaza Mitre, 1º Subsuelo, Av. Las Heras 2282",Ciudad Autónoma de Bs. As.,Ciudad Autónoma de Bs. As.,1127,5368-0066,-,-,Peugeot Rapide,Secundaria
1030,L'EXPRES S.A.,Av. del Libertador 1.800 esq. Tagle (Pizza Cero),Ciudad Autónoma de Bs. As.,Ciudad Autónoma de Bs. As.,1425,5368-1182 / 4807-0216,-,-,Excl. Ventas,Secundaria
