code,name,addres,city,state,cp,phone,fax,email,type,subtype,lat,lon
1010,AUTO ASIST,Avda de los Constituyentes 5750,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,1431,4571-3557,4571-3557,autoasist@autoasist.com.ar,TADI Excl. Post Venta,Principal,-34.5738192,-58.5026321
1017,AMITIÉ AUTO S.A.,Avda. La Plata 218,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,1184,4982-1483 / 84 / 85,4982-1483 / 84 / 85,info@amitie.com.ar,Excl. Ventas,Principal,-34.6173717,-58.42871899999999
1017,AMITIÉ AUTO S.A.,Avda. La Plata 767,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,1235,4926-2604 al 06,4926-2604 al 06,info@amitie.com.ar,Excl. Post Venta,Principal,-34.624634,-58.42730160000001
1019,BREST de Carullo S.A.,Gascón 1445,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,1181,4862-2797,4862-2797,info@serviciobrest.com,TADI Excl. Post Venta,Principal,-34.5934917,-58.42276949999999
1030,L'EXPRES S.A.,Carlos Pellegrini  1526,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,1011,4325-2004/05,4325-2004/05,pellegrini@lexpres.com.ar,Excl. Ventas,Secundaria,-34.5900909,-58.38132
1030,L'EXPRES S.A.,Rincón 720,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,1227,4308-2455/56/57,-,rincon@lexpres.com.ar,Integral,Secundaria,-34.6174227,-58.39603429999999
1030,L'EXPRES S.A.,Av. Córdoba 3113,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,1187,4963-6206,-,-,Excl. Ventas,Secundaria,-34.5980589,-58.41048430000001
1030,L'EXPRES S.A.,"Estac. Plaza Mitre, 1º Subsuelo, Av. Las Heras 2282",Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,1127,5368-0066,-,-,Peugeot Rapide,Secundaria,-34.58766910000001,-58.39699090000001
1030,L'EXPRES S.A.,Av. del Libertador 1.800 esq. Tagle (Pizza Cero),Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,1425,5368-1182 / 4807-0216,-,-,Excl. Ventas,Secundaria,XXX,XXX
1041,SVA SACI,Av Pte Figueroa Alcorta 3472,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,1425,4801-6323,4801-1794,sva@interar.com.ar,Excl. Ventas,Principal,-34.5768768,-58.40447260000001
1041,SVA SACI,Av. Warnes 400,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,1414,4801-6323,4801-1794,sva@interar.com.ar,Peugeot Rapide,Secundaria,-34.6026331,-58.441509
1041,SVA SACI,Scalabrini Ortiz 950,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,1414,4801-6323,4801-1794,sva@interar.com.ar,Integral,Secundaria,-34.5953792,-58.4317579
